username,rating,language,title,review_text,date,country,sentiment,summary,sentiment_clean
Ron,5,fr,Site web et app facile d'utilisation,Site web et app facile d'utilisation.  Bonne présentation des données,2024-12-04,BE,Positive,The customer finds the website and app easy to use and praises the presentation of data.,Positive
Cléa Faoro,1,fr,Lent !!!,"Ça fait deux semaines que j’essaye de faire un virement et que la banque traîne, me pose plein de questions et n’exécute pas ce virement que est URGENT. 
Le service par téléphone ne traite pas avec le service des mails donc je dois attendre leurs réponses, ce qui ne fait que retarder mon virement!!!!! 😡",2024-12-04,BE,Negative,"The customer had a negative experience with service delays due to an urgent virement. The banking service was slow, particularly on phone calls, causing frustration and leading to the delay of their urgent appointment.",Negative
Sarah,3,fr,Bien mais à évoluer ,"Bonne expérience en général.Bon service en ligne mais top difficile de vous joindre par téléphone.
Pour un prêt ou une succession,c’est toujours plus facile d’avoir un interlocuteur en face et toujours le même.",2024-12-04,BE,Neutral,"The customer has mixed feelings. They appreciate overall good experiences and good service online but find it challenging to join phone calls, preferring face-to-face interactions for appointments such as loans or job applications.",Neutral
Philippe B,5,fr,Excellent service,Client depuis 20 ans. Au top ! Gratuit mais de qualité.,2024-12-04,BE,Positive,The reviewer is praising a long-standing client for being at the top and maintaining high quality.,Positive
philippe v.,3,fr,Bonne banque en général mais dommage pour les moyens de paiement modernes,"Bonne banque en général, bonnes conditions commerciales, appli et web Banking ok. Par contre faiblesse au niveau des moyens de paiement modernes: l’appli Payconiq ne fonctionne pas entre particuliers (seulement pour payer les commerçants) avec Keytrade, pas de paiement via smartphone ou Smart Watch….",2024-12-03,BE,N/A,,N/a
Vincent Vandooren,5,fr,Site claire et facile à utiliser,Site claire et facile à utiliser,2024-12-03,BE,Positive,Site claire et facile à utiliser,Positive
client,5,fr,Banque de qualité ,"Banque, de qualité, prix attractif sur les opérations bancaires. Frais minimum. Compte gratuit avec carte bancaire.",2024-12-03,BE,N/A,,N/a
Jean pierre,3,fr,Diminué le montant minimale des…,Diminué le montant minimale des placements keyprivate. ,2024-12-03,BE,Negative,Diminuyó el nivel mínimo de colocaciones keplicadas.,Negative
Marie-France Granier,5,fr,Sans souci,"Depuis le début, tout se passe bien
 Je reçois des notes par mail quand il y a des changements pu des conseils. L'utilisation est simple. Rien à redire",2024-12-03,BE,N/A,,N/a
Dany,5,fr,Très contente d'avoir changé de banque ,"Cliente depuis près de trois ans, aucun problème. Pas de frais mensuels. 
L'application est très facile à utiliser,  les différentes actions telles que 5 cents versés à chaque transaction ou le cash Back sont des plus par rapport aux autres banques.",2024-12-03,BE,Positive,"The customer is satisfied with their experience since they've been using the service for over three years without any issues, appreciates the ease of use, and finds certain aspects like transaction fees advantageous compared to other banks.",Positive
PAUL,4,fr,Excellente banque virtuelle.,"Cela fait quelques années que je suis client dans cette banque virtuelle.
Je ne rien à lui reprocher. 
Tout est toujours parfait. 
Merci pour vos services. ",2024-12-01,ES,N/A,Positive,N/a
Leblanc,2,fr,Depuis 1 an environ,"Depuis 1 an environ, il y a plus souvent des bugs et lorsqu'on les signale, ils sont corrigés bien plus tard mais d'autres surgissent. On a l'impression que les techniciens font ce qu'ils veulent et que la clientèle, ils s'en fichent. Dommage, c'était pourtant une excellente banque auparavant.",2024-11-22,BE,1. **Sentiment:** Negative,"2. **Summary:** The review expresses dissatisfaction with frequent bugs that are reported and corrected late, leading to a negative impression of the service, despite an otherwise good banking experience previously.",Negative
arlette bontemps,1,fr,la banque  refuse  de se  connecter sur…,"la banque  refuse  de se  connecter sur l'application payconiq ce qui ne permet pas de travailler en toute quiétude , , il faut une autre banque pour pouvoir payer et recevoir les transactions clients
client keytrade depuis 2014",2024-11-15,BE,N/A,,N/a
Daniel ,1,fr,- Un poste sur mon compte titres a…,"- Un poste sur mon compte titres a 'disparu' (valeur affichée 0 depuis un mois); aucune explication à ce jour (15 novembre)
- délais d'attente au téléphone interminables, avec une procédure d'identification très embêtante
- la banque a abandonné les titres cotés en Suisse, forçant une vente
- temps de réponse sur le site très mauvais
- recherche de titres inefficace; p.exple : essayer de trouver l'action NYSE:Block : aucun résultat, rendant impossible de créer une alerte
- etc...",2024-11-15,BE,Negative,"The customer is expressing dissatisfaction with several issues such as account discrepancy, long wait times on hold, bank withdrawal problems, slow response time on the website, and ineffective search for a specific stock ticker.",Negative
Cihan,1,fr,Banque catastrophique ,"Je suis extrêmement déçu par le service de cette banque. J’ai signalé un problème avec ma carte bancaire qui devait être résolu rapidement, mais après plusieurs appels au service client, rien n’a été fait. Le service est non seulement inefficace, mais en plus, le personnel avec qui j’ai échangé a été impoli, me demandant simplement de “patienter” avant de me raccrocher au nez.
Cette situation m’a laissé bloqué à l’étranger, sans accès à mes comptes, ce qui est inadmissible. Une banque qui traite ainsi ses clients, en les laissant dans une telle situation critique, est à fuir.
Je vais changer de banque et déconseiller cet établissement à quiconque recherche un service fiable et respectueux. Fuyez cette banque si vous tenez à être bien traité et à pouvoir accéder à vos fonds quand vous en avez besoin.",2024-11-12,ES,1. Negative,2. The customer was extremely frustrated with the bank service and felt mistreated. They regretted their decision to stay at the bank and advised others against it. This indicates a highly negative sentiment.,Negative
ernst pierre,1,fr,Blocage de mes comptes et dossier…,"Blocage de mes comptes et dossier traité à la légère
J'ai fait verser un montant sur mon compte keytrade. On m'a demandé l'origine des fonds. Logique vu que les banques sont soumises aux lois antiblanchiment. J'ai répondu par mail aux questions et fourni une pièce justifiant l'origine des fonds (vente d'une maison). Keytrade a bloqué mes comptes unilatéralement sans m'avertir. J'ai introduit une plainte au service plaintes de keytrade. Ils m'ont informé qu'ils souhaitaient clôturer mes comptes. Aucune demande d'infos complémentaire ne m'a été demandée. Personne n'a pris contact avec moi par téléphone. J'estime que mon dossier a été traité avec beaucoup de légèreté. Et de plus ils se permettent de bloquer mes comptes sans raison valable pendant plusieurs jours: aucune latence fiscale, une origine de fonds prouvée et/ou pouvant l'être facilement. ",2024-11-06,BE,Positive,"The reviewer had a positive experience with Blocage de mes comptes et dossier traité à la légère, appreciating its handling of their financial matters.",Positive
Client,5,fr,Crédit hypothécaire ,Nous avons pris notre crédit hypothécaire chez eux et tout c'est bien passé et se passe bien encore maintenant. Ils sont rapides pour répondre au téléphone ou par mail. ,2024-11-01,BE,Positive,They have paid their deposit on time and everything has worked as expected.,Positive
Jean-Marc Nain,1,fr,Il y a toujours de nombreux bugs sur…,"Il y a toujours de nombreux bugs sur l'application. Malgré qu'on leur signale, rien ne change. On nous fait croire qu'on a un montant 2 fois plus grand ou plus petit. Manque flagrant de sérieux !!!!",2024-10-30,BE,N/A,,N/a
Francois mathieu,4,fr,Un problème? Soyez patient... et n ayez pas peur de vous exprimer !,"A mon avis, une bonne banque tant que tout se déroule comme prévu... 

J ai ouvert un compte il y a un mois et demi maintenant avec le code promo me permettant d avoir 50 euro à l ouverture. Je ne rentre pas dans les détails ici mais je suis dans les conditions. 

Durant l ouverture sur le site, un problème se produit. Il me demande de réessayer et après avoir plusieurs rafraîchissement de la page, j y arrive. Les semaines passent et toujours pas de 50 euro sur mon compte. 

J envoie un mail, toujours pas de réponse à l heure actuelle (ça fait plus d un mois). J essaye de sonner une première fois, j abandonne après être resté 20min sur le répondeur... j essaye une nouvelle fois et j ai enfin quelqu un en ligne qui me dit que je n ai pas activé le code promo au moment de mon admission, merci le problème de connexion de leur site de *****, et que maintenant c est trop tard, QUAND BIEN MEME JE RENTRE DANS LES CONDITIONS ET QUE L OFFRE EST TOUJOURS D ACTUALITE! 

Devant cette démarche un poil scandaleuse je préviens donc... sûrement une bonne banque d appoint mais gardez en une autre si vous avez un problème car si problème il y a... c est très long.

MODIFICATION 4 novembre: après avoir pas mal râlé, le problème à été réglé...  j augmente donc la note. Une banque lente mais plus à l écoute que prévu! ",2024-10-28,BE,Positive,"The customer is satisfied with their banking experience despite encountering minor issues. They express confidence that the bank will address future problems promptly, maintaining a positive attitude towards the institution.",Positive
Luc van Mulders,1,fr,Frais d'échange de devises ! ,"Bonsoir,

J'attends toujours un remboursement de ce que vous m'avez subtilisé avec ces frais d'échange de devises alors qu'il n'en était rien. Ces achats de USD, alors qu'il n'en était rien. Je n'ai acheté que des actions Colruyt avec des euros, pas besoin de dollar pour cette entreprise belge côtée en euros.

C'est du vol en col blanc qui ne peut rester sans une punition !

Les preuves se multiplient malgré que j'ai tout retiré pour que vous ne puissiez pas continuer et continuer à vous enfoncer.

Combien d'autres de vos clients ont été ainsi arnaqués ? Combien ?

J'attends toujours votre réponse aux mails précédents  ... qui ne viennent pas.

Pas de soucis, je peux attendre ... mais pas trop longtemps vu l'énormité de cette façon de faire.

Je n'en décolère pas !

Et j'ai vendu le 9 octobre mes positions et comme vous ne répondez pas à mes mails précédents où je vous avait transmis les preuves que votre système m'a ""subtilisé"" voir ""volé"" des frais de change alors que j'étais en euro et que je n'ai acheté que des Colruyt, je quitterai votre Banque de trade pour une autre plus ""honnête"" et surtout plus ""réactive"" et qui a encore du respect pour ses clients. 
C'est absolument inadmissible votre façon de faire comme de ne pas répondre aux mails qu'après plusieurs jours et sans mieux vérifier les problèmes récurrents qui persistent voir qui se multiplient depuis les trop nombreuses années que j'ai dû passer chez vous, étant un ancien de chez FORTUNEO. 
Jamais une communication téléphonique, jamais de dédommagement pour les bugs devenus des prélèvements automatiques dorénavant.
Votre service commercial est devenu inexistant et donc en-dessous de tout. Et dire que j'avais parrainé des amis chez vous il y a quelques années.

Bien à vous,
",2024-10-22,BE,1. **Sentiment:** Negative,"2. **Summary:** The customer is expressing dissatisfaction with the company's previous communication and products, stating that they were misled and expecting honesty but received no response to their complaints. They plan to switch to a more responsive service in the future.",Negative
MPoleur,1,fr,Il n'y a plus personne chez Keytrade Bank Belgique,"Client Keytrade depuis de nombreuses années sans souci, j'ai ouvert ou j'ai tenté d'ouvrir fin août deux comptes pour mes enfants. Mi-octobre, toujours aucune nouvelle malgré mes relances. Je reçois des réponses automatiques disant que le personnel est malade ou que le service est débordé et qu'il faut patienter maximum 2 semaines. Est-ce que cette banque se prépare à fermer ? Dois-je migrer mes avoirs ailleurs ?",2024-10-19,BE,Negative,The customer has been annoyed by negative responses and is contemplating moving to another bank.,Negative
Patrick Lepage,1,fr,Pas de réponse à ma demande,"Cela fait plusieurs semaines que je n'arrive plus à accéder à mes comptes sur le site avec mon PC.  Le 4 octobre, j'ai donc envoyé via leur formulaire de contact le message suivant :
""Bonjour,
Cela fait une semaine que je n'arrive plus à accéder à mes comptes sur votre site avec mon PC (Windows 11) : Après scan du QR code avec mon smartphone, une page vierge s'ouvre et rien ne se passe.  J'ai dû utiliser l'application android sur mon smartphone, ce qui est gênant car les virements sont limités à 2.500,00 € et que j'ai dû en faire un dizaine au lieu d'un sur PC. 
Pouvez-vous donc me recontacter à ce sujet pour résoudre ce problème qui, de plus, est récurrent, SVP ?
Je vous remercie par avance de votre réponse rapide.
Suivaient mon n° de client et mes coordonnées complètes.""

Le jour même, j'ai reçu une réponse automatique par courriel mais depuis, pas de nouvelles, et je ne sais toujours plus accéder à mes comptes sur le site avec mon PC.  Ne pouvant donc pas télécharger mes extraits de compte, je ne sais pas demander une carte VISA que je souhaite.
",2024-10-14,BE,N/A,- **Sentiment**: Neutral,N/a
Cedric,1,fr,Banque intrusive et malhonnête,"Il y a 3 mois, j'ai demandé le transfert de mon portefeuille titres de la DB vers Keytrade bank, après avoir mis plus de 2 mois à effectuer ce transfert, keytrade me demande de justifier:-l'origine des titres transférés -quand et comment ils ont été achetés - avec quel revenu - quel est l'origine de ces revenus - etc...on me demande de fournir toutes mes fiches de salaires et attestations fiscales, toutes les ventes et achats de ces titres afin de ""justifier l'origine de ce patrimoine"" alors même que les titres ont été transféré d'une banque belge vers une autre banque belge !!...je me retrouve à devoir fournir des preuves sur plus de 25 ans de constitution de ce portefeuille, c'est IMPOSSIBLE !!!...3 jours après leur mail de demande de justificatifs, ils ont bloqué mes comptes...cette banque est à fuir absolument, elle vous attire avec des tarifs alléchants, et vous coince...fuyez pauvres fous !!",2024-10-12,BE,Negative,"The customer is dissatisfied with Keytrade Bank's response and feels it is unfair to demand additional proof for a transfer, given the previous issues. They believe the bank is closing its account due to unresolved concerns, which they view as financially irresponsible.",Negative
HASSIN,1,fr,Bon à savoir avant toute démarche,"Mon expérience personnelle du mois de septembre 2024: 

-pas de difficultés particulières pour ouvrir un compte;
-IMPOSSIBLE cependant de pouvoir utiliser l'application sur smartphone au moyen d'une softkey: toutes les procédures préconisées par Keytrade aboutissent à un échec (par courrier postal/mail/téléphone dont 5 appels précédés de 20 minutes d'attente minimum à chaque fois, opérateurs volontaires, polis mais manifestement tenus par un timing au-delà duquel ils vous éconduisent purement et simplement); 
-enfin, pour vous permettre de vous faire votre propre idée de la performance du service à la clientèle de Keytrade banque, lisez la retranscription du mail automatique (asseyez-vous) envoyé en réponse à l'utilisation de leur formulaire de contact:

"" Cher client,
En raison d’un manque de personnel pour cause de maladie, notre service client trouve des difficultés à vous répondre rapidement.
Les temps d’attente au téléphone augmentent et les messages s’accumulent. Nos collaborateurs sont sous pression et manquent, au propre comme au figuré, de bras pour répondre rapidement à vos questions et vos e-mails.
Nous faisons tout notre possible pour résoudre ce problème dans les plus brefs délais. Nous vous remercions pour votre attente et votre compréhension.
L’équipe de Keytrade Bank.

Pour les réclamations concernant des services et opérations de paiement, vous pouvez vous attendre à une première réponse dans les 5 jours ouvrables. Tout autre type de réclamation devrait être traité dans les 2 semaines"".

---> Conclusion: 
j'étais dubitatif quant aux nombreux avis négatifs publiés avant et -à n'en pas douter désormais- après le mien. J'ai donc voulu voir par moi-même, pensant que ""cela n'arrivait qu'aux autres"".
Je sais maintenant, mon opinion est faite, à vous de voir, mais, personnellement, je ne recommande pas Keytrade banque, ainsi que je l'ai fait savoir autour de moi à ma famille, à mes amis, à mes collègues et à toute personne dont j'aurai connaissance des projets d'ouverture de compte...
",2024-10-08,BE,Negative,The customer expresses dissatisfaction with Keytrade's service due to delays and communication issues. They also advise against using the bank's services for personal accounts.,Negative
Jean-Pol Chapelier,1,fr,Je suis client chez Keytrade Banque…,"Je suis client chez Keytrade Banque depuis plus de 35 ans. J'en ai toujours été très content. Un jour, j'ai encaissé le produit de la vente de bitcoins (sur une plate-forme européenne d'échange). Les ayatollahs du département KYC m'ont ensuite interrogé sur l'origine des fonds. Je leur ai fourni toutes les informations en ma possession. Ils m'ont notifié de mon expulsion, bloqué mes comptes et depuis ne répondent plus à  mes mails sans transférer mes avoirs (> 200 k€) selon les instructions que je leur ai communiquées vers un compte belge.
Ce dialogue de sourd dure depuis le 6 décembre",2024-10-07,BE,Negative,"The customer had a negative experience due to an extended dispute with Keytrade Banque, leading to account suspension and non-response to emails.",Negative
jean goff,1,fr,Enfin une solution trouvée !,Enfin la solution a été trouvée depuis que j'ai fait appel à ombudsman ! C'est quand même navrant que l'on doive en arriver là pour un simple virement !,2024-10-07,BE,Positive,"The customer is expressing satisfaction with finding a solution after contacting an ombudsperson, appreciating the effort involved.",Positive
Elsa Panis,4,fr,Je tiens à vous informer que…,Je tiens à vous informer que Keytradebank a répondu à mes demandes et que ce dossier peut être considéré comme terminé. Un grand merci à Jenilee. Paul Panis,2024-10-07,BE,Positive,The customer is satisfied with Keytradebank's response to their requests and considers the provided dossier complete.,Positive
Maryse Donnet,1,fr,Très nette dégradation de cette banque…,"Très nette dégradation de cette banque depuis qu'elle est passée sous Arkéa Direct Banque, en tout cas concernant le portefeuille-titres. Des actions de base comme instruire un ordre de vente, ou annuler un ordre de vente, causent parfois problème, mais surtout, temps de réponse du ""service"" client trop long, questions en attente depuis plus d'un mois!!",2024-10-06,BE,N/A,,N/a
Marian Materna,5,fr,Je suis client de cette banque ,"Je suis client de cette banque depuis plusieurs année et toujours aussi satisfait, la banque est réactive et l'utilisation de l'application très simple et intuitive.",2024-10-06,BE,Positive,The customer is satisfied with their banking experience and appreciates the bank's reactiveness and user-friendly application.,Positive
Martin Dupont,1,fr,Impossible d'ouvrir un compte ,"Depuis le 27 août j'essaie d'ouvrir un compte chez eux car je voulais changer de banque et je désirais vraiment faire partie de leurs clients. Mais depuis, plus de nouvelle de leur part (on est le 2 octobre au moment de cet avis). J'ai donc du appeler pour annuler ma demande d'ouverture et je vais me diriger à contrecoeur vers une autre banque... 

Update : J'ai finalement créé un compte dans une autre banque (ouvert en 5min et carte reçue en moins d'une semaine). J'ai appelé Keytrade banque pour leur dire d'annuler ma demande d'ouverture. Bien que cette dernière ait été enregistrée, j'ai tout de même eu un email 2 semaines plus tard pour me dire que mon compte avait été ouvert et ma carte envoyée par la poste (1 mois et demi après la demande d'ouverture!!!). Du coup, je dois maintenant faire les démarches de cloture de compte... ",2024-10-02,BE,Negative,"The customer had a negative experience due to delays and errors after creating an account at Keytrade. Despite successfully opening the account, they faced further issues such as receiving a card too late and dealing with the process of closing their account later on.",Negative
Armand Gutter,4,fr,Bon service d'investissement,"Je suis satisfait du service d'investissement offert par cette banque, par contre au niveau service bancaire, virements, support client c'est le minimum. Mais c'est pour le service d'investissement que j'utilise cette banque!",2024-10-02,BE,1. **Sentiment:** Positive,"2. **Summary:** ""Je suis satisfait du service d'investissement offert par cette banque, par contre au niveau service bancaire, virements, support client c'est le minimum. Mais c'est pour le service d'investissement que j'utilise cette banque!""",Positive
ILETUB,4,fr,Cliente depuis plusieurs années,"Cliente depuis plusieurs années, je suis satisfaite du rapport qualité-prix offert par cette banque, l'ouverture des comptes a en effet été un peu laborieuse, et les virements mettent toujours 1 jour à être visibles, mais en contrepartie pas de frais, au contraire; ",2024-10-01,BE,Positive,"The customer is satisfied with the quality and price of service provided by the bank. However, they note that opening accounts was a bit challenging, but appreciated the competitive pricing.",Positive
MOLY BELUGA,1,fr,Une fois de plus,"Une fois de plus, je veux entrer dans mes comptes pour opérer des ventes d’actions urgentes et non seulement la page d’accueil pour me connecter avec ma hard key est en Flamand mais…page blanche !!!!téléphoner, je n’ose plus 😅de toutes manières on ne répond jamais….alors je vais attendre 😩",2024-09-26,BE,N/A,1. **Sentiment**: Negative,N/a
MICHEL VAN DEN BERGH,1,fr,Absence de réponse à tout appel par mail ou par téléphone,"Depuis plusieurs jours appels téléphoniques  et envois de mails sans réponse. Manifestement pas de personnel disponible pour répondre à la clientèle et le taux de mécontents sur le site est à 55 %. Je n'arrive plus à me connecter au compte. Il s'agit d'une séquestration de fonds... Il est temps que la banque change de politique avant de voir fuir ses clients.
Bien à vous
Dr Michel Van den Bergh",2024-09-25,FR,Negative,"The customer is dissatisfied due to frequent phone and email calls without response, a lack of available staff, and dissatisfaction with the website's service. The bank is also mentioned as a potential source of frustration for the customer, leading them to consider changing their banking policy.",Negative
Démons Dimons,1,fr,À déconseillé ,Bien obligé de mettre 1* pour pouvoir mettre un avis je déconseille vivement trouve n'importe quel prétexte pour ne pas ouvrir de compte ses la première fois que je voie sa pour être franc depuis le 30aout impossible de les avoir par tel et par email et quand on vous répond par email ses toujours la même réponse on traite votre demande au plus vite ,2024-09-23,BE,Negative,"The customer is expressing dissatisfaction with the service received. They mention feeling deceived and finding it impossible to respond positively, implying a negative sentiment overall.",Negative
fabienne boils,1,fr,Réclamation suite à blocage de comptes…,"Réclamation suite à blocage de comptes intempestif et non expliqué , et toujours bloqués!!!

Les faits :
-5/09/2024: je découvre que tous mes comptes sont bloqués. Je ne comprends pas la raison de ce blocage intempestif et sans préavis. Je n'ai aucun découvert sur mes comptes et suis cliente à la banque depuis plus de 10 ans. Aucun problème à noter jusqu'à ce blocage. Aussi j'adresse un message de questions à ce sujet via le service de banque en ligne. 
-6/09/2024 : je reçois une demande via email de Keytrade avec des documents à compléter et des justificatifs à fournir pour répondre à ma demande (datée du 11.11.2023 !!!) de changement d'adresse. Le message ne fait aucune mention du blocage de mes comptes.
- 10/09/2024 : je réponds à la demande email avec tous les documents complétés et les justificatifs demandés pour documenter le changement d'adresse.
- 12/09/2024 : sans réponse de Keytrade, j'appelle leur service clientèle qui m'assure que les documents pour le changement d'adresse ont bien été reçus mais qu'ils n'ont pas le droit de commenter la raison du blocage de mes comptes. Aussi, je renvois un message via la banque en ligne pour questionner sur la raison de ce blocage.
- 14/09/2024: j'introduis une plainte officielle au service qualité de Keytrade par envois recommandé.

Nous sommes le 22 septembre, et à ce stade, mes comptes sont toujours bloqués et je n'ai reçu AUCUN retour de Keytrade.  Je ne comprends pas pourquoi mes comptes ont été bloqués de manière intempestive et sans raison. 

La situation est inacceptable!!!


",2024-09-22,FR,Negative,"The customer is highly dissatisfied with the bank's service due to continuous account blocking issues without explanation, which has been going on for over a decade. The repeated attempts at resolving the issue have only led to further frustration and the decision to file an official complaint.",Negative
H M,1,fr,Bonjour,"Bonjour, j’appel depuis plusieurs jour pour un simple rdv et ouverture d’un compte, aucune réponse. Je n’imagine même pas si il y a un soucis … et vu tout les messages de comptes bloqués. C’est dommage.",2024-09-19,BE,Negative,"The customer is dissatisfied with the lack of response and issues experienced, expressing disappointment.",Negative
sylvie humblet,5,fr,Suite à mon précédent avis,"Suite à mon précédent avis, la réaction de l’équipe de Keytrade Bank a été très rapide et mon compte a été débloqué immédiatement alors que j ai tenté de contacter le service clientèle depuis des mois sans succès Je regrette d avoir du passer par ce site pour faire bouger les choses et je remercie la personne qui a eu la réactivité et pris la responsabilité de faire le nécessaire. J’espère ne plus connaître ce genre de mésaventure afin de pouvoir reprendre confiance en cette institution. ",2024-09-19,FR,Positive,The customer was pleased with the quick response from Keytrade Bank and appreciated their proactive service.,Positive
DBP IMMO,4,fr,Keytrade communication à améliorer ,"Le compte est enfin ouvert après 15 jours.Mais faites un effort sur la communication dans la phase d'ouverture et le suivi qui est quand même essentielle dans le cadre d'un compte en ligne. D'autant plus que celle-ci est plus efficace une fois le compte ouvert..

",2024-09-17,BE,1. **Sentiment:** Positive,"2. **Summary:** The customer is pleased that their account has been opened after 15 days, appreciates the effort made during the opening phase, and finds it essential for ongoing management of an online account. They also praise the effectiveness of their account once it's open.",Positive
stanybodson,4,fr,Jamais été déçu !,"Jamais été déçu, client depuis bientôt 10 ans, j'ai même gagné de l'argent grâce à leur Keyplan, leur service client m'à toujours répondus au plus vite, et pour finir, nos transactions ne sont pas facturées, comme chez d'autres, mais rémunérées. what else !",2024-09-17,BE,Negative,"The customer is expressing dissatisfaction with the company over time, mentioning losing money and their desire for better service, including transaction refunds.",Negative
catherine zigante,1,fr,"Et voilà,une fois de plus aucune réponse.","Et voilà,une fois de plus, aucune nouvelle de keytrade bank...
Suite à ma plainte sur Truspilot, une employée de keytrade bank a répondu qu'elle était désolée du désagrément rencontré et qu'un employé allait me rappeler...
A ce jour, Personne ne m'a rappelée...
On attend, encore et encore...
Franchement j'aurais dû lire les avis sur cette banque avant d'ouvrir ce fameux compte en ligne...
Arnaque, arnaque...
Publicité totalement mensongère...
C'est honteux.
Quand on téléphone on peut rester des heures au téléphone avec une musique énervante et un discours toujours pareil...
Quand aux messages reçus sur Truspilot...
Ils sont tous pareils, aucune réponse personnalisée.
",2024-09-14,BE,N/A,- **Sentiment**: Negative,N/a
Edouard Lambert,1,fr,renouvellement cate d'identité,"Bonjour,

Il est excessivement difficile d'avoir quelqu'un au bout du fil, j'ai mis 2 jours et plus de 8 x pour avoir quelqu'un et à chaque essai une attende de plus de 20 min.J'avais besoin d'une simple info pour une question administrative.
C'est inquiétant de ne pas avoir contact avec sa banque
",2024-09-10,BE,Negative,"The customer found the experience too long and frustrating due to a lack of assistance. They expressed dissatisfaction with not having contact with their bank, indicating financial issues.",Negative
Magali Vander Haegen,1,fr,"contact téléphonique ""énervant""","Monsieur, Madame, suite à la vente d'un bien(un voilier) une somme a été versée à partir d'un compte belge parfaitement identifiable,de l'acquéreur  sur mon compte, avec mention :achat d'un voilier, également des questions parfaitement superflues et inutilement intrusives  comme ""comment a été constitué le capital, pour une bien acheté il y a 10 ans!!!!
à la suite de quoi j'ai reçu un mail de demande d'information auquel j'ai répondu , comme indiqué ci-avant .La banque demande maintenant copie de l'acte de vente( vente de gré à gré).Je ne vois aucune raison à cela, et je me demande d'ailleurs en quoi cela serait légal. L'acheteur, le vendeur sont parfaitement identifiés, l'objet de la vente est clairement indiqué, je ne vois par principe, aucun  motif de vous fournir l'acte de vente
j'ai tenté d'avoir plus d'explications avec un employé au téléphone qui a été particulièrement désagréable, raison pour laquelle j'interviens ici",2024-09-06,FR,Negative,"The customer had a negative experience due to dissatisfaction with service, inconvenience, and lack of clarity.",Negative
LayaGanesh*,4,fr,Banque Sérieuse et méfiante mais…,"Banque Sérieuse et méfiante mais positif pour une banque et la sécurité de notre argent, je pense !?
Ne rembourse rien si vous avez fait confiance à un trader pas très sérieux et a piqué vos deniers. 
Tant pis pour votre pomme!Fallait bien vous renseigner avant de trader avec le premier venu!",2024-09-02,BE,Negative,The customer is disappointed that they were not refunded for a dishonest trader who scammed them. They criticize the company for falling short in providing good service.,Negative
catherine,1,fr,Honteux,"Honteux, après 4 appels téléphoniques, plus de 3/4 d'heure à entendre :"" tous nos collaborateurs sont occupés, veuillez rester en ligne...""
Et toujours Personne à qui parler.
De plus faire de la publicité totalement mensongère...
50€ versés sur le compte après Ouverture de celui-ci ...
Mensonge.
Je l'ai ouvert suite à la publicité que Guillaume De Rykiel a faite sur son site et notant le code à introduire...
Tout a été fait dans les règles et 2 mois plus tard...
Rien.
Mail envoyé mais réponse évasive.
A proscrire...",2024-09-02,BE,Negative,"The customer had a bad experience with multiple telephone calls, lasting over an hour each, where no one answered. They also encountered aggressive and unnecessary advertisements which cost €50 upon opening the advertisement. Despite following all rules for the advertisement, it was sent only 2 months later. Complaints were made about poor mail response and non-compliance with advertising regulations.",Negative
Thierry Callens,1,fr,Portefeuille volé le 19/8,"Portefeuille volé le 19/8. Logiquement blocage toutes cartes bancaires immédiat (chaque banque en est informé au plus tard le lendemain). 
4 emails au service clientèle avec à chaque fois une réponse nulle qui ne répond jamais quant à l'envoi d'une nouvelle banque BC. En un mot, strictement aucune assistance ! Comme indiqué par plusieurs personnes ci-dessous, service clientèle non seulement totalement inefficace mais de plus sans donner un embryon de réponse au problème pourtant clairement explicité.   Nous allons très certainement changer notre compte courant vers une autre banque.   A noter que les 3 autres banques près desquelles je suis client m'ont toutes contactées d'elles même et envoyé en moins de 5 jours ouvrables les nouvelles cartes bancaires !!! 
Keytrade banque de seconde zone. A éviter",2024-08-28,BE,Negative,"The customer is highly dissatisfied with their experience at Keytrade Bank of Second Zone. Complaints include unhelpful service from the bank's customer service, inefficiency in responding to inquiries about new accounts, and overall lack of assistance. They plan to switch banks due to these issues and mention being able to obtain the new cards within a few days.",Negative
paul,1,fr,Service client inexistant,"Service client inexistant. Toutes sont des promesses quand vous ouvrez votre compte, mais là le service de la banque termine. Réponses tardives et authoritaires du service client. Impossible de clôturer un compte. J'ai subi presque 3,000 euros de pertes entre le 10 decembre que j'ai notifié de mon intention de cloturer mon compte et le 15 janvier quand cela est devenu effectif. Evitez cette banque. la seule réponse que vous recevrez est “gaslighting” à l’extrême. ",2024-08-26,BE,Negative,"The customer is highly dissatisfied with the bank service and believes they were misled, leading to significant financial losses. They advise others to avoid this bank.",Negative
Fabrice Collin,1,fr,L’application de la banque ainsi que la…,L’application de la banque ainsi que la gestion des comptes et de la carte est bien. Mais c’est le seul point positif. Service client Inexistant ! J’attend une réponse depuis plus de 2 mois ! Impossible de clôturer votre compte chez eux. Ils demandent de renvoyer un document propre à eux et quand vous le faites aucune réponse… bien vite que cette banque ferme !,2024-08-23,BE,1. **Sentiment:** Negative,"2. **Summary:** The review expresses dissatisfaction with the banking application, service management, and customer support. The reviewer feels the bank is unresponsive and demanding improper documentation when contacted for account closure. They mention being denied a response from over two months. This negative sentiment leads to an unfavorable summary:",Negative
